Stage,Match_ID,Date,Team1,Team2,Prob_T1,Prob_Draw,Prob_T2,RF_Prob_T1,RF_Prob_Draw,RF_Prob_T2,XGB_Prob_T1,XGB_Prob_Draw,XGB_Prob_T2,ANN_Prob_T1,ANN_Prob_Draw,ANN_Prob_T2,Winner,Loser
Round of 32,83,"Thursday, 2 July 2026",Colombia,Croatia,41.76666666666667,22.11,36.123333333333335,37.57,24.45,37.980000000000004,37.95,24.38,37.669999999999995,49.78,17.5,32.72,Colombia,Croatia
Round of 32,84,"Thursday, 2 July 2026",Spain,Austria,54.699999999999996,23.89,21.41,51.53,29.59,18.88,56.64,22.38,20.979999999999997,55.93,19.7,24.37,Spain,Austria
Round of 32,85,"Thursday, 2 July 2026",Switzerland,Egypt,34.27,24.230000000000004,41.5,38.04,26.19,35.77,36.35,26.35,37.3,28.42,20.150000000000002,51.43,Egypt,Switzerland
Round of 32,86,"Friday, 3 July 2026",Argentina,Uruguay,62.82,19.56,17.62,63.78,20.48,15.740000000000002,64.34,19.15,16.509999999999998,60.34,19.05,20.61,Argentina,Uruguay
Round of 32,87,"Friday, 3 July 2026",Portugal,Algeria,54.46,23.976666666666663,21.563333333333333,52.400000000000006,27.99,19.61,54.25,25.03,20.72,56.730000000000004,18.91,24.36,Portugal,Algeria
Round of 32,88,"Friday, 3 July 2026",Turkiye,Iran,44.88333333333333,23.143333333333334,31.973333333333333,44.24,24.29,31.47,37.5,25.61,36.89,52.910000000000004,19.53,27.560000000000002,Turkiye,Iran
Round of 16,89,"Saturday, 4 July 2026",Germany,France,32.589999999999996,26.063333333333333,41.34666666666667,28.64,31.03,40.33,28.15,25.03,46.82,40.98,22.13,36.89,France,Germany
Round of 16,90,"Saturday, 4 July 2026",Czechia,Brazil,27.709999999999997,22.25666666666667,50.03333333333333,28.499999999999996,25.21,46.29,27.38,22.16,50.46000000000001,27.250000000000004,19.400000000000002,53.349999999999994,Brazil,Czechia
Round of 16,91,"Sunday, 5 July 2026",Morocco,Senegal,41.77333333333333,22.84,35.38666666666666,41.42,24.099999999999998,34.48,43.39,24.060000000000002,32.550000000000004,40.510000000000005,20.36,39.129999999999995,Morocco,Senegal
Round of 16,92,"Sunday, 5 July 2026",Ecuador,England,19.88,20.45,59.669999999999995,17.39,21.22,61.39,17.080000000000002,20.75,62.17,25.169999999999998,19.38,55.45,England,Ecuador
Round of 16,93,"Monday, 6 July 2026",Colombia,Spain,25.48,23.276666666666667,51.24333333333333,22.95,27.250000000000004,49.8,26.39,23.25,50.36000000000001,27.1,19.33,53.56999999999999,Spain,Colombia
Round of 16,94,"Monday, 6 July 2026",USA,Belgium,30.63,24.71666666666667,44.653333333333336,28.939999999999998,26.700000000000003,44.36,31.240000000000002,27.689999999999998,41.07,31.71,19.759999999999998,48.53,Belgium,USA
Round of 16,95,"Tuesday, 7 July 2026",Argentina,Turkiye,55.54,22.47666666666667,21.983333333333334,49.89,26.290000000000003,23.82,59.489999999999995,21.47,19.040000000000003,57.24,19.67,23.09,Argentina,Turkiye
Round of 16,96,"Tuesday, 7 July 2026",Egypt,Portugal,20.55666666666667,21.21,58.23333333333333,20.23,20.93,58.84,19.67,24.16,56.169999999999995,21.77,18.54,59.69,Portugal,Egypt
Quarter-Finals,97,"Thursday, 9 July 2026",France,Brazil,45.583333333333336,21.816666666666666,32.599999999999994,46.45,23.94,29.609999999999996,49.7,22.09,28.21,40.6,19.42,39.98,France,Brazil
Quarter-Finals,98,"Friday, 10 July 2026",Spain,Belgium,46.330000000000005,25.596666666666668,28.073333333333334,45.78,31.4,22.82,49.230000000000004,25.330000000000002,25.44,43.980000000000004,20.06,35.96,Spain,Belgium
Quarter-Finals,99,"Saturday, 11 July 2026",Morocco,England,30.340000000000003,22.086666666666662,47.57333333333333,29.270000000000003,24.03,46.7,29.330000000000002,22.8,47.870000000000005,32.42,19.43,48.15,England,Morocco
Quarter-Finals,100,"Saturday, 11 July 2026",Argentina,Portugal,45.43666666666667,23.89,30.673333333333332,44.81,28.02,27.169999999999998,51.57000000000001,23.810000000000002,24.62,39.93,19.84,40.23,Argentina,Portugal
Semi-Finals,101,"Tuesday, 14 July 2026",France,Spain,35.96333333333333,23.813333333333333,40.22333333333333,32.769999999999996,29.13,38.1,37.86,22.42,39.72,37.26,19.89,42.85,Spain,France
Semi-Finals,102,"Wednesday, 15 July 2026",England,Argentina,33.85333333333333,23.736666666666668,42.410000000000004,32.019999999999996,28.95,39.03,32.78,22.58,44.64,36.76,19.68,43.56,Argentina,England
Bronze Final,103,"Saturday, 18 July 2026",France,England,39.72,23.540000000000003,36.74,38.36,28.849999999999998,32.79,40.9,23.169999999999998,35.93,39.900000000000006,18.6,41.5,France,England
Grand Final,104,"Sunday, 19 July 2026",Spain,Argentina,36.57666666666667,23.523333333333337,39.9,35.0,28.060000000000002,36.94,32.93,22.12,44.95,41.8,20.39,37.81,Argentina,Spain
