tournament_name,Home_Big_Chances_5,Home_Shots_5,Home_Shots_on_Target_5,Home_touches_in_penalty_area_5,Home_big_chances_last_5,Home_final_third_entries_last_5,Home_touches_in_penalty_area_last_5,Home_wins_last_5,Home_goals_last_5,Home_conceded_last_5,Home_gd_last_5,Away_Big_Chances_5,Away_Shots_5,Away_Shots_on_Target_5,Away_touches_in_penalty_area_5,Away_big_chances_last_5,Away_final_third_entries_last_5,Away_touches_in_penalty_area_last_5,Away_wins_last_5,Away_goals_last_5,Away_conceded_last_5,Away_gd_last_5,Home_elo,Away_elo,ELO_diff
Qualifiers,1.0,10.25,4.75,19.333333333333332,0.06503073718437238,136.15989545405796,28.518518518518526,0.0,2.0,9.0,-7.0,2.4,9.6,3.4,21.5,2.304059256917618,183.30317461346246,40.78189300411524,3.0,9.0,3.0,6.0,1440.2279716918438,1629.2762938174174,-189.04832212557358
Qualifiers,,,,12.0,1.0,21.0,8.0,,,,,2.6,14.2,5.2,40.666666666666664,1.7592954641074754,228.73038496939176,54.14814814814816,2.0,8.0,7.0,1.0,1493.6322762668672,1618.1041637415703,-124.47188747470318
Friendlies & Minor,3.25,17.25,4.0,,1.9025404513389073,132.53471222581626,,2.0,5.0,5.0,0.0,2.0,15.5,5.0,,0.3950617283950619,114.19753086419755,,2.0,5.0,2.0,3.0,1655.290198811509,1550.7846054721947,104.50559333931437
Qualifiers,2.0,15.0,6.8,,4.331619753337311,145.63148816840197,,3.0,12.0,4.0,8.0,3.2,20.4,7.2,,5.054685140826407,206.30557888485868,,2.0,11.0,6.0,5.0,1557.080145260074,1547.114676579625,9.965468680449021
Friendlies & Minor,1.75,8.25,3.75,,2.3333333333333335,100.29629629629632,,,,,,1.8,9.4,3.4,,1.6309505664786876,146.25699713574005,,2.0,7.0,12.0,-5.0,1510.5251588248916,1428.253579171209,82.27157965368269
Friendlies & Minor,2.8,14.8,5.8,,3.066724245965216,148.39196260732615,,4.0,12.0,4.0,8.0,3.4,17.4,7.6,,2.03892059513662,216.02802975399686,,4.0,14.0,6.0,8.0,1603.358967287557,1714.9295605053696,-111.57059321781253
Friendlies & Minor,2.75,15.6,7.0,,1.8936928087972142,141.77487936886067,,1.0,8.0,6.0,2.0,0.5,12.0,2.75,,0.19753086419753094,122.99588477366258,,0.0,2.0,10.0,-8.0,1867.5991536310285,1469.836578277047,397.76257535398145
Friendlies & Minor,1.3333333333333333,13.4,6.0,,1.8360357342897276,147.06566235323712,,3.0,7.0,4.0,3.0,3.0,17.4,5.6,,3.160493827160494,164.01234567901236,,1.0,6.0,6.0,0.0,1736.3548012261024,1498.3025826944283,238.05221853167404
Friendlies & Minor,2.3333333333333335,12.6,4.6,,3.697623379955004,155.09412459081383,,2.0,7.0,5.0,2.0,1.6,10.4,4.0,,0.3945870813249634,140.42320970277854,,1.0,5.0,13.0,-8.0,1820.1410304354579,1377.957271174365,442.183759261093
Qualifiers,,,,,,,,,,,,2.6666666666666665,13.0,5.666666666666667,,0.4938271604938274,77.38271604938275,,2.0,7.0,10.0,-3.0,1500.0,1480.4319020879823,19.56809791201772
